Index,Label,Sentence
49,0,제과점은 대로변에서 이십분쯤을 더 걸어가야 한다.
50,0,"21세기 우리의 삶은 본질에서 벗어나 있어요.
51,0,굴비도 한자 이름에서 왔다.
52,0,그러므로 옛부터 가난 속에서 효자 나온다고 이야기하였던 것이다.
53,0,그가 주머니에서 통장을 꺼냈다.
54,0,르노삼성차는 지난해 광고회사를 TBWA코리아에서 월콤으로 바꿨다.
55,0,수건에서는 비누 향기가 은은히 풍겼다.
56,0,이곳은 한양에서 삼남으로 가는 길목인데다 수운의 요충이다.
57,0,그 자신만만한 행동에서 나는 불안을 느꼈다.
58,0,아내가 부엌에서 나온다.
59,0,그의 품속에서 해미의 윗몸은 졸아들었다.
60,0,이와 같은 견해는 여러 철학자의 입장에서 피력되었다.
61,0,괜한 호기심에서다.
62,0,서울에서 C시까지는 한시간 반 가량이 걸렸다.
63,0,상경에서 돈화로 돌아오는 길은 고역의 길이었다.
64,0,그의 호 연암은 여기에서 말미암은 것이다.
65,0,오후 여섯시에 하트라로 가는 버스가 호텔에서 출발했다.
66,0,할머니를 어머님으로 모시려는 생각에서였죠.
67,0,응징은 너무 빨리 엉뚱한 곳에서 찾아왔다.
68,0,상류에서 오염된 물은 그대로 하류로 흘러가고 만다.
69,0,송아지 등에서 뛰어내렸다.
70,0,부고환의 꼬리부에서 시작하여 요도 안으로 열려 있다.
71,0,"우리 아기는 하늘에서 내려온 천사야.
72,0,재우는 온몸에서 맥이 쭉 빠졌다.
73,0,장축방향은 남-북에서 동쪽으로 약 16°기울어져 있다.
74,0,그것도 저 풍림상회에서 돌려오는 거야.]
75,0,송이는 도시에서 우리 마을로 갓 이사온 아이였다.
76,0,이러한 갈등은 사람의 삶의 역사성에서도 온다.
77,0,오래된 암록색 타일 바닥에서 냉기가 뻗쳐왔다.
78,0,아침식사 후에서 11시까지가 왜 좋은 시간대일까?
79,0,니나가 손가방에서 수첩을 꺼냈다.
80,0,"동우 오빠는 밖에서 왔어."
81,0,시계에서 성주 방면 국도를 따라 차편으로 10여분 가량 거리.
82,0,온천탕에서 낙안읍성 일대 산과 들 읍성마을 전경이 한눈에 들어온다.
83,0,울진에서 서울로 향하는 75만 볼트 송전탑은 기세가 등등하다.
84,0,부천에서도 한참 더 들어가는 판자촌인 신천리였다.
85,0,돌아온 것은 도합 20마리 중에서 일곱 마리였다.
86,0,이사간 거잖아? 이쪽에서 저쪽으로…."
87,0,생활과의 괴리 문화활동은 원래 일상생활에서 나온 것이다.
88,0,잠바 호주머니 속에서 신문 한 장을 꺼냈다.
89,0,그러니까 초여름 매미가 땅속에서 밖으로 나올 무렵이다.
90,0,북에서 내려왔지.
91,0,그곳은 그의 고향 마을에서 가까운 곳이었다.
92,0,1시쯤 전주에서 오빠가 왔다.
93,0,그 지질한 현실에서 눈을 돌리고 싶었을 것이다.
94,0,저쪽 편에서 다리를 건너 이쪽으로
95,0,퉁명스런 간호사가 팔뚝에서 주사기를 빼내며 말했다.
96,0,나는 갈마(葛麻)역에서 명사십리로 갔다.
97,0,제주도에서 유학을 온 수정이라는 여학생이었다.
98,0,…… 그것은 분명 천장에서 나는 소리였다.
99,0,물론 미군 PX에서 나온 물건이다.
100,0,간유 물고기의 간에서 뽑아 낸 기름.
101,0,더구나 안동에서 택시로 여기까지 왔단다.
102,0,"스웨덴이라는 나라에서 왔다구?"
103,0,신 여사가 동네 사우나에서 돌아온 모양이었다.
104,0,훈아는 온몸에서 기운이 쑥 빠져버리는 듯했다.
105,0,아예 여행 가방 속에서 꺼내지도 않았다.
106,0,종가에서 곧장 탑골로 들어갔다.
107,0,단지골에서도 오 리 길이나 더 가는 샘골 아주머니들이었습니다.
108,0,"선생님 저 재일인데요 지금 막 고속 버스에서 내렸어요.
109,0,망미동에서 사직동으로 또 감전동으로 이사 왔다.
110,0,결국 교장은 이 교사를 학교에서 쫓아내고 만다.
111,0,모텔에서 돌아오는 길이었다.
112,0,방문 저쪽에서 무심한 목소리가 흘러나왔다.
113,0,마구간에서 나오며 구만이가 말했습니다.
114,0,그때 갑자기 2방에서 "쿵"하는 신호가 전달되었다.
115,0,그런 관점에서 본다면 범서 형은 완전한 이단자였다.
116,0,둘째 政治·政黨部門에서 나타난 不正腐敗 유형은 어떤 것인가?
117,0,새벽에 용산역에서 내렸다.
118,0,그것은 의미찾기에서 비롯된다.
119,0,물은 안쪽에서 바깥쪽으로 천천히 여러 번 부어 준다.
120,0,사람의 행동은 또 의식도 사회적 제약 속에서 이루어진다.
121,0,성진은 경운기에서 뛰어내렸다.
122,0,위쪽에서 경운기 한대가 내려오고 있었다.
123,0,밥어미가 방에서 나왔다.
124,0,따라서 과대평가된 달러화가 유통계에서 추방될 수밖에 없다.
125,0,저희들은 서울에서 왔어요."
126,0,고민은 그런 불분명함들에서 오는 거였지요.
127,0,'집에서 멀리 가지 마.
128,0,유치원 정문에서 길 건너가 바로 우리 아파트 단지 후문이었다.
129,0,우리의 행동이란 늘 욕망과의 싸움에서 생긴다.
130,0,주머니에서 새 모이를 꺼내주면서 진우가 말했다.
131,0,호주머니에서 딱지가 술술 쏟아졌습니다.
132,0,다음과 같은 까닭에서다.
133,0,이 글은 다음과 같은 몇 가지 물음들에서 준비되었다.
134,0,언쟁의 80％ 이상이 공복 상태에서 일어난다고 한다.
135,0,눈을 밖에서 안으로 돌리자.
136,0,순이익이 8년 만에 적자에서 흑자로 돌아선 것이다.
137,0,"그야 물론 부(富)의 불균등에서 오는 것이지.
138,0,K는 곧 자신의 방에서 나왔다.
139,0,아내는 숙의 집에서 며칠 전 돌아와 있었다.
140,0,K는 침대에서 내려왔다.
141,0,현재 대한항공에서 나오는 폐식용유는 월 평균 1천ℓ.
142,0,전시회 작품은 과학작품을 하나 분교장에서 내란다.
143,0,계장은 천천히 자리에서 일어났다.
144,0,그녀는 아침 여덟시 이십분에 집에서 나왔다.
145,0,위에서 지시가 내려오니까."
146,0,하늘에서 뚝 떨어진단 말인가?
147,0,고안자인 미국인 샌퍼드(Sanford)의 이름에서 생긴 말이다.
148,0,나머지 허드렛물은 수도꼭지에서 나온다.
149,0,그러나 속에선 아무것도 올라오지 않았다.
150,0,➍ 고모가 도시락에서 소금을 꺼내어 놓았다.
151,0,"관사에서 교실로 아예 이사를 했구나 이사를."
152,0,그때 누군가 가방에서 드링크제를 꺼냈지.
153,0,침대에서 침대로 점프를 해보기도 한다.
154,0,남한의 이산가족은 비단 북한땅에서 내려온 그들만이 아니다.
155,0,기침소리에 옥점의 방에서는 누가 나오는 모양이다.
156,0,이번 대통령선거에서는 새로운 매체가 많이 개발되었다.
157,0,일본에서 담배가 온 것은 사실이다.
158,0,"당신은 분명 하늘에서 떨어진 신성한 존재요.
159,0,맨 아래 가지에서 다음번 가지로 또 다음 가지로 올라갔다.
160,0,주전자에서 휘파람 소리가 났습니다.
161,0,제임스 박의 목에서는 피가 몇방울 흘러내렸다.
162,0,부안군 하서면에서 변산 쪽으로 736번 지방도를 탄다.
163,0,제일은 10월 상달 초하루에서 3일 사이에 지낸다.
164,0,몰이해에서 나온 말이죠.
165,0,나무 속에서 천천히 무엇인가가 모습을 드러냈다.
166,0,그것은 얼마 가지 못한다는 생각에서였다.
167,0,어쨌든 우리는 한핏줄에서 나왔으니까.
168,0,층계 맞은편에서는 삼층으로부터 두꺼비와 수창이가 내려오고 있었다.
169,0,소설을 중심으로 한 것도 그런 이유에서다.
170,0,5라운드 중반 이인영의 코에서 피가 흘렀다.
171,0,줄기에서 가지가 많이 갈라진다.
172,0,"저기에서 앰뷸런스가 와요."
173,0,병원에서 나오면 내가 잘해 드려야겠다.
174,0,온몸에서 기름 냄새가 풍긴다.
175,0,병식이형은 주머니에서 지포라이터를 꺼내들었다.
176,0,보통 불필요한 요산은 신장에서 오줌이 되어 배설된다.
177,0,아가씨가 상자에서 인형을 꺼내 놓았다.
178,0,출연자들에서 시작된 이 소동은 스태프들에게로 이어졌다.
179,0,한국 바둑의 영역은 이제 국내에서 해외로 한껏 넓어졌다.
180,0,품이와 필례는 지금 학교에서 돌아오는 길입니다.
181,0,구면파 공간의 한 점에서 모든 방향으로 똑같이 퍼져 나가는 파동.
182,0,꽃은 5월에 개화하여 황록색에서 적색으로 변한다.
183,0,그때 갑자기 집에서 전화가 걸려온 거야.
184,0,허벅다리에서 무릎 정강이까지 힘이 쭉 빠진다.
185,0,저어기 찬장에서 그것 좀 가져와봐라.
186,0,헬기에서 내린 얼룩무늬 공수부대들이 보안과 쪽으로 이동했다.
187,0,서울의 봄 서울의 봄은 눈 속에서 온다.
188,0,바람은 저 하늘에서 가져오거라.
189,0,나는 재빨리 방에서 나오면서 부러 큰소리로 말했다.
190,0,품이는 그제서야 물에서 나왔습니다.
191,0,반면에 흑인의 인구 비율은 17%에서 13%로 줄어들었다.
192,0,민족주의 문학이라는 명목은 이에서 생긴 개념인 것이다.
193,0,한참 만에야 다시 신림역 근처에서 지상으로 나타나는 게 아닌가!
194,0,감정에서 솟는 식은땀 말이다.
195,0,그곳에서 왼쪽으로 약사봉 능선이 나 있었다.
196,0,역사 고대인들이 맨손발로 싸우던 투기술에서 발전했다.
197,0,장축은 남-북향에서 서쪽으로 약 10°가량 기울어 있다.
198,0,그들은 욕실에서 나왔다.
199,0,4호 지석묘에서 동쪽으로 19ｍ 떨어져 있다.
200,0,블라스까야에서 유즈나야까지는 버스로 불과 오분밖에 걸리지 않았다.
201,0,동아시아인의 의사소통은 '오늘 날씨가 좋다'에서 시작된다.
202,0,소녀는 머리끝에서 신발까지 온통 물기로 번들거렸다.
203,0,삼십대 초에서 사십대 끝까지 이어진 시기였다.
204,0,서문 시장 쪽에서 동대구역까지는 얼마나 먼 길일까?
205,0,동대문시장에서 대학로로 진입하면서 차가 아예 움직이질 않았다.
206,0,그 전화 우리 집에서 온 전화일 겁니다.
207,0,흥남역에서 1시간남짓 가니 신포역이었다.
208,0,1번 국도는 프놈펜에서 베트남의 호찌민을 향하는 도로이다.
209,0,첫번째 호출은 18층에서 왔다.
210,0,경련을 일으키는 실제의 위험은 찬물과 피로에서 기인한다.
211,0,동아시아의 시베리아에서 일본에 걸쳐 번식한다.
212,0,요사인 하루에 10달러에서 15달러까지 수입이 오른답니다.
213,0,집은 학교 소재지인 송정리에서 사십리나 떨어져 있었다.
214,0,현석은 주머니에서 수류탄을 끄집어내었다.
215,0,맹자의 꿋꿋함은 바로 호연지기에서 온 것입니다.
216,0,잠실역에서 아파트까지 십분 정도 걸어가야 한다.
217,0,꿈에서 현실로 돌아온 얼굴이었다.
218,0,그가 내 손에서 보따리를 빼앗아들었다.
219,0,팔당호 물은 어디에서 올까.
220,0,"우리는 코리아에서 왔습니다.
221,0,자넨 북유럽에서 왔군.
222,0,잔뜩 긴장한 채 다시 산꼭대기에서 내려가기 시작했지.
223,0,영주에서 춘양까지 시외뻐스로 갈아탔다.
224,0,독일에서 왔어."
225,0,우라노스와 가이아 사이에서 태어난 여섯 남신과 여섯 여신을 말한다.
226,0,언니의 몸에서 찬바람이 건너왔다.
227,0,아주머니는 꽃 대야에서 꽃을 모두 내어놓습니다.
228,0,60에서 지금 혼인 나이를 빼 보라.
229,0,동대입구 전철역에서 국립극장까지 걸어서 15분 남짓.
230,0,남자와 여자는 지프 뒤에서 뭔가를 꺼내고 있었어.
231,0,고아원에서 약국은 가까운 거리는 아니었다.
232,0,배수지의 물은 어디에서 올까.
233,0,태초에 사랑이 사랑에서 만물이 생겼다.
234,0,"한라에서 백두까지 교직원 노조 물결쳐라!"
235,0,진리의 명제는 구체로부터의 추상화에서 얻어진다.
236,0,3호 지석묘에서 남쪽으로 5ｍ 쯤 떨어져 위치한다.
237,0,자기 반성이란 주관 곧 의식에다 묻는 것에서 비롯된다.
238,0,어린아이에서 노인에 이르기까지-.
239,0,또 현저도에서 사직 공원으로 넘어가는 등성이도 문제였다.
240,0,아버지가 가장에서 꺼낸 것은 농약병이었다.
241,0,문제의 중심이 근원에서 구조로 옮겨진 것이다.
242,0,수사관들은 피어스를 차에서 내려놓아야 했다.
243,0,여산은 명천에서 차로 이십분쯤 떨어진 면소재지였다.
244,0,그런데 결국 형은 스스로 그 집에서 나온 것이다.
245,0,나는 두꺼비도 다른 집에서 데려올 생각이었다.
246,0,냐짱에서 후에까지는 하룻밤을 꼬박 달려야 한다.
247,0,논은 논에서 논으로 끝없이 이어지고 있다.
248,0,또한 농경 위주에서 상공업 위주의 사회로 변모한 탓도 크다.
249,0,이자소득에 대한 세율이 현재의 22%에서 24.
250,0,최희섭의 타율은 0.341에서 0.333으로 떨어졌다.
251,0,며칠 전 우리가 시내에서 돌아오는 길이었다.
252,0,게다가 창문에서 땅바닥까지도 그닥 높지 않은 듯했다.
253,0,에세이는 몽테뉴에서 비로소 시작되었다고 한다.
254,0,전자는 남성과 여성의 차이점에서 오는 여러 가지 문제점을 사회학적.
255,0,입에서 입으로 전하는 것이 유일한 수단이었다.
256,0,산에서 내려오면서 생각했다.
257,0,이 권사는 10만 원을 사위 주머니에서 꺼내고 싶었다.
258,0,바야흐로 마케팅 패러다임은 광고에서 PR로 바뀌어가고 있다.
259,0,말할 용기가 어디에서 오는 것일까요.
260,0,가방 속에서 술병과 사과와 오징어를 꺼냈다.
261,0,바람은 고기압부에서 저기압부로 분다.
262,0,나는 우주의 저 끝에서 이 끝으로 온 것이었다.
263,0,해석학은 주어져 있는 경험의 안에서 출발한다.
264,0,예술은 바깥 세계에서 서서히 인간 내면의 정신세계로 옮아 간다.
265,0,C시에서 출발해도 두시간 가량은 더 달려야 했다.
266,0,생산의 최종 목표나 방법들은 문화의 측면에서 온다.
267,0,파라핀 석유에서 얻어지는 백색 반투명의 고체.
268,0,정자는 정소에서 만들어진다.
269,0,대기실 복도 끝편에서 한 사내가 뛰어온다.
270,0,이 모든 것은 프로 정신의 결여에서 나오는 것이다.
271,0,욕망은 우리의 안에서 시작하여 대상에 의하여 완결된다.
272,0,외적에서 내적으로 옮겼다.
273,0,언덕 위에서 강가까지 구경꾼이 많이 모였다.
274,0,현관문의 위에서 아래로 시트지를 한 번에 붙인다.
275,0,중앙선은 서울의 청량리에서 경주까지 뻗은 철도선이다.
276,0,그러함에서 오는 거리낌일가.
277,0,그러나 소련에서 러시아로의 이행과정은 완전히 끝난 것이 아니다.
278,0,책「文字」은 인간의 말에서 소리를 빼앗아갔다.
279,0,이것이 본능에서 오는 여러 가지 행동의 연결이다.
280,0,학교에서 2km 가량 떨어진 타이발라티 로잉 스포츠 클럽을 이용했다.
281,0,바람은 북쪽에서 불어온다.
282,0,학교에서 마을까지는 2킬로미터를 가야 한다.
283,0,삼흥역에서 다시 도보로 7분 정도 가면 평양외국어대학에 도착한다.
284,0,학교에서 돌아오는 길이다.
285,0,코스타리카가 브라질에서 가깝냐?"
286,0,이리시에서 시외로 나간 것이다.
287,0,폐교에서 산 하나 너머에 정옥의 고향집이 있다.
288,0,계장이 서에서 데려온 형사들이었다.
289,0,저거 다 니 뱃속에서 나온 거 아니냐?
290,0,그리고 담뱃대를 입에서 뽑으며
291,0,어미가 수술대에서 내려섰다.
292,0,그 운동단체에서 나온 건 5?3 인천사태 직후였다.
293,0,춘추 전국 시대의 혼란은 이기심에서 왔습니다.
294,0,이곳에서 가까운 곳은 어느 쪽이지요?"
295,0,너희들 집에서 도망쳐 왔지?"
296,0,사복의 입에서 튀어나온 것은 평안도 억양의 우리말이었다.
297,0,감기가 번져서 날마다 20명에서 30명 사이로 결석이다.
298,0,어디에서 왔는가?
299,0,인천에서 서울로 막 쳐들어가는 중이라고 난리들인데."
300,0,춤을 무대에서 끌어내리려고도 해야 한다.
301,0,찡값은 홀마다 다르지만 이백 원에서 오백 원까지였다.
302,0,별님이가 자기 방에서 나오며 말했습니다.
303,0,문학은 인류학의 연구에 의하면 고대의 신화에서 유래했다.
304,0,무언가가 내 호주머니에서 떨어졌다.
305,0,낙원에서 지상으로 쫓겨나면 이런 느낌일까.
306,0,하고 상주는 집에서 뛰쳐나갔다.
307,0,나비넥타이는 바지주머니에서 나왔다.
308,0,이발사가 호주머니에서 돈을 꺼냈다.
309,0,허허씨는 금고에서 꾸러미를 꺼냈습니다.
310,0,"그 집에서 그러니까 아주 나와버린 거야?"
311,0,자유롭고 융통성 있는 네덜란드 사람들의 사고에서 비롯되지.
312,0,봄바람이나 태양은 모두 동방에서 나온 것이다.
313,0,우리는 후닥닥 배나무에서 내렸습니다.
314,0,어쨌든 이는 우리의 인격의 근원에서 나오는 본질적 경향이다.
315,0,유즈나야에서 아르바뜨까지는 지하철로 이십분이 채 걸리지 않았다.
316,0,골목에서 골목으로 꼬불꼬불 잘도 빠져 나갑니다.
317,0,옛 관념에서 벗어나지 못하고 있다는 의미이다.
318,0,△ 강박에서 시작하여 약박으로 끝난다.
319,0,행운은 성실하고 근면한 생활에서 나온다.
320,0,아래쪽에서 솟아올랐다.
321,0,"송파에서 나설 적엔 솔모루까지만 겨냥했었으니까요.
322,0,말의 감정적 값은 욕망의 마술적 실현에서 얻어진다.
323,0,비평이 소중한 이유란 이에서 말미암는 것이 아니겠는가.
324,0,“김 선생은 어제 파리에서 무사히 서울로 떠났습니다.
325,0,김칠규 현대씨름단 코치가 지난 19일 입원 중인 서울중앙병원에서 퇴원.
326,0,일기를 쓰는 것은 다음의 몇 가지 점에서 유익하다.
327,0,질경이는 뿌리와 줄기로도 번식하나 씨에서도 생겨난다.
328,0,그리고 암흑의 인사말을 이쪽에서 저쪽으로 옮긴 것이다.
329,0,그가 머무는 시간은 대개 삼십 분에서 한 시간 정도였다.
330,0,강물은 저 폴란드의 강에서 가져오거라.
331,0,나물을 주로 먹는 계절은 봄에서 여름이다.
332,0,봉투에서 나온 것은 짤막한 편지 한 장이었다.
333,0,아낙의 머리에서 보퉁이가 떨어졌다.
334,0,갑갑한 정자간(亭子間)에서 나온 사람들이다.
335,0,뺄셈 어떤 수에서 다른 수를 빼는 계산 방법.
336,0,그것은 자기 암시에서 오는 가상의 통증이다.
337,0,구질에서 달라진 점은.
338,0,버스 한대가 아파트 신축공사장 모퉁이에서 이쪽으로 오고 있었다.
339,0,이런 전망은 더 이상의 악재가 터지지 않는다는 전제하에서다.
340,0,우리는 모두 차에서 내렸어.
341,0,두 사람 사이에서 태어난 아이가 비형이라는 것이다.
342,0,두 그룹간의 신경전이 벌어졌다는 얘기도 여기에서 비롯된다.
343,0,2호에서 북쪽으로 5-10ｍ 떨어져 위치한다.
344,0,── 보일러에서 물 올라가는 소리 아닐까요?
345,0,정보화시대의 힘은 정보에서 나온다.
346,0,열시쯤 민재와 나는 술집에서 나왔다.
347,0,이 능에서 가장 가까운 마을이 사릉리.
348,0,약속 시간에서 겨우 4분이 지났을 뿐이었다.
349,0,더 이상 비난에서 자유로워서는 안 된다.
350,0,국물맛은 재료에서 나오기 때문이다.
351,0,너는 지하철 2호선 2704번 전동차 안에서 밖을 내다보았다.
352,0,절에서 하산한 장하일이 찾아간 사람은 구평서였다.
353,0,그 어둠 속에서 모또 한 대가 불쑥 튀어나온다.
354,0,무르나우에서 24킬로미터 거리를 기차가 다닌다.
355,0,포커 페이스란 말 그대로 포커판에서 나온 말이다.
356,0,아직은 굶주림에서 헤어나지 못한 까닭인가.
357,0,경호에 부담이 따른다는 이유에서였다.
358,0,물론 어떤 이유에서든 폭력이 정당화될 수는 없다.
359,0,기사문은 이런 사회 각계에서 발생하는 일들을 소재로 다룬다.
360,0,호주머니에서 오천 원권 한 장을 꺼냈다.
361,0,아들과 딸은 다같이 어머니의 자궁에서 나왔다.
362,0,"중국에서 왔지요.
363,0,머리끝에서 발끝까지 붉은 흙으로 푸석푸석하다.
364,0,류씨는 담뱃갑을 셔츠 윗주머니에서 꺼냈다.
365,0,그러나 이 불안은 주로 환경에서 나온다.
366,0,안개 속의 하모니카 소리 서점에서 출판사로 옮겨졌다.
367,0,(주머니에서 칼을 꺼낸다.)
368,0,그는 그녀의 등뒤에서 두 팔을 빼냈다.
369,0,창세기 2장 4절 하반절에서 5절까지는 이렇다.
370,0,그믐달이 막 동산에서 솟아오르는 어느 새벽녘이었습니다.
371,0,장삼 위에 왼쪽 어깨에서 오른쪽 겨드랑이 밑으로 걸치는 옷이다.
372,0,저 높은 추상에서 구체로의 과감한 하강!
373,0,그는 주머니에서 알약을 꺼내었습니다.
374,0,뼈 끝에서 들소가 나오다니.
375,0,솔밭 쪽에서 이슬비가 날아들었다.
376,0,대개가 뒤에서 갑자기 튀어나온다.
377,0,요르단의 수도 암만에서 버스로 스물두 시간 걸립니다.
378,0,집 안에서 동호가 밖으로 나갔습니다.
379,0,"전국 체전에서 발을 삐셨다구요?
380,0,산너머에서 호랑이가 온다고 …
381,0,오십대의 경비아저씨가 서랍에서 손전등을 꺼내며 말했다.
382,0,'당신의 건강을 자전거로' '행복은 자전거에서 온다'.
383,0,그것은 생명체의 본능에서 온다.
384,0,이들은 격렬한 분노에서 통렬한 웃음까지 스스럼없이 오간다.
385,0,저 배가 고국에서 오는 배가 아닌가.
386,0,7년에서 2년으로 떨어질 때는 꾀춤이라도 추고자팠는데."
387,0,프랑스의 '앙데팡당전'도 그러한 반동에서 생겨난 운동이다.
388,0,우리나라의 노동자들은 대부분이 시골에서 올라옵니다.
389,0,태평로 서울 특별시의 세종로 네거리에서 남대문 사이에 있는 거리.
390,0,즉 언어를 그 무미한 습관성에서 깨우친 것이다.
391,0,서울에서 내려오는 길은 쓸쓸했다.
392,0,그러지 않으면 "여성의 적령기는 22세에서 25세이다.
393,0,맨땅에서 전설을 일군 김태영 최진철 유상철.
394,0,"아파트 풀밭에? 아마 둥지에서 떨어진 모양이구나."
395,0,그런데 그 친구의 입에선 의외의 대답이 튀어나왔다.
396,0,긴장하고 있던 다비의 입에서 다시 웃음이 흘러나왔다.
397,0,할아버지의 두 눈에서는 눈물이 주르르 흘러내리고 있었다.
398,0,학교에서 아이들이 장난으로 카드를 보냈다.
399,0,주변 이곳저곳에서 사방 팔도 말이 튀어나왔다.
400,0,고려대학교에서 시작한 너의 꿈이 '경북대학교나 가지.
401,0,그때 코에서는 선혈이 선뜻선뜻 흘러나온다.
402,0,고심 끝에 운전석 윗자리 차천장에서 에어백이 나오도록 설계했다.
403,0,여주에서도 여러 사람이 맥주 공장에 일하러 갔다.
404,0,SC#18의 대사에서 드디어 그 설명이 나왔다.
405,0,이 고치에서는 한 마리의 청벌이 나온다.
406,0,아낙네들 입에서 어마지두에 비명이 터졌다.
407,0,미국과 일본에서 생태산업 환경산업이라는 말이 나옵니다.
408,0,반석에서 물이 나게 했어요.
409,0,뜻밖에도 사람들이 사방에서 구름같이 몰려들었다.
410,0,여러 곳에서 그에게 연락을 해왔다.
411,0,"고향에서 어떤 분이 찾아오셨습니다."
412,0,이때 명태 아가리에서 슬그머니 보살이 일어난다.
413,0,"아아 어서 이놈의 데에서 떠나야지."
414,0,박 목사가 자리에서 일어나면서 말했다.
415,0,그는 온몸에서 땀냄새를 잔뜩 풍겼다.
416,0,아랫목에서 라디오 소리가 들려왔다.
417,0,매일 아침 노동청에서 안부 전화 온다.
418,0,그녀는 자리에서 발딱 일어섰다.
419,0,가르시아는 자리에서 일어섰다.
420,0,그녀는 욕실에서 나왔다.
421,0,"유진이는 여섯 달 안에 고등학교에서 떨어집니다.
422,0,경축일을 즈음하여 관공서에서 가끔 들어오는 주문이 전부다.
423,0,아니 그 시간 속에서 빠져나오고 싶지 않았다."
424,0,얄팍한 봉투 안에서 나온 건 스카프다.
425,0,당신은 내 통장에서 모두 인출해서 계산을 끝내 놓으슈.]
426,0,수천에서 수만 마리의 탄생에 1회의 빈도로 나타난다.
427,0,오늘은 운동 연습에서 해방이 되는 첫날이다.
428,0,라디오에선 계속 뉴스가 흘러나왔다.
429,0,정치적인 상황이 여소야대에서 여대야소로 바뀌었기 때문이다.
430,0,옥점이가 방에서 톡 튀어나왔다.
431,0,먼 거리: 15cm에서 45cm까지.
432,0,넷째 경직된 고정 관념에서 벗어난다.
433,0,서서히 진행하여 발병에서 사망까지는 10 ~ 15 년 정도 걸린다.
434,0,새참은 오전 9시에서 10시 사이에 먹는다.
435,0,간장을 담그는 시기는 음력 2월에서 3월경이다.
436,0,또 신입사원에서 출발해 CEO(최고경영자)에 올랐다.
437,0,'성인'을 들일에서 돌아온 농부처럼 묘사하다니!
438,0,모 여성지에서 보낸 원고청탁서가 그 동기였다.
439,0,그것은 사회에서 의도적으로 심어 준 이미지이다.
440,0,하지만 갑자기 뭔가 속에서 울컥 솟구쳤다.
441,0,군산방송국 쪽에서 들려온 이야기다.
442,0,힘은 직급이 아니라 자리에서 나오는 것이다.
